Datetime,Tweet_Id,Content,Language,Username,User_id,User_location
2022-03-12 10:09:02+00:00,1502587462606102533,"#Netflix movie of the day: El Camino: A Breaking Bad Movie (2019, IMDb 7.3)
Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creato...
Link: https://t.co/ujQSip1ALI
#WhatToWatch #NetflixSG #singapore #movies",en,Flixboss_SG,999664044658380801,Singapore
2022-03-09 04:08:18+00:00,1501409517984043015,"The Weekend Away #Netflix 

Such a wet fart - Z
This is a slip and fall movie - J

We suffered for you don't do it to yourself now k

Oh it's a bad movie, worst I've watched in a long time. Good heckling material tho",en,NotoriousZSB,252191271,"Colorado, USA"
2022-03-07 20:46:10+00:00,1500935862753894402,El Camino : A Breaking Bad Movie 🎥 #Netflix,en,Fdashtiix,814577377091141633,Kuwait
2022-02-23 18:33:02+00:00,1496553703557447688,"#Netflix movie of the day: El Camino: A Breaking Bad Movie (2019, IMDb 7.3)
Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creato...
Link: https://t.co/ZVtWKqB7U5
#WhatToWatch #NetflixUK #movies",en,FlixbossUK,970658185538359296,United Kingdom
2022-02-20 10:03:55+00:00,1495338419630723073,"#NowWatching The Privilege #Netflix Not a bad movie,kinda weird and interesting even if it has some bad reviews,i enjoyed it. https://t.co/0AaW7Qe7Ip",en,marixapanda,2856502861,"Los Angeles, CA"
2022-02-19 05:19:50+00:00,1494904539467730946,"Is is a good movie? NOT IN THE SLIGHTEST SENSE!
Is it a bad movie? NOT IN THE SLIGHTEST SENSE!
#TexasChainsawMassacre 
#horror 
#Netflix",en,Sirenhead_Maaz,1440691604151357457,
2022-01-17 10:32:39+00:00,1483024459967647746,"Is it just me or the #Netflix movie #DontLookUp is crap? I've tried a few times and just can't finish it. As much as I wanna like it for the star power, it's just a really bad movie.",en,ndongystyle,111037137,kenya
2022-01-11 22:07:33+00:00,1481025013478211586,"Mother/Android is a bad movie. Such great potential with the plot, but such an underwhelming film. #MotherAndroid #Netflix",en,josh_earl3,227326182,
2022-01-09 00:30:24+00:00,1479973796920578054,"Watched this one tonight on @netflixca , not a bad movie but not amazing! But interesting. Very weird lol.

#thecleanse #cleanse #horror #horrorjunkie #2022 #horrormovie #Netflix https://t.co/u91Rd6oOOi",en,HorrorChronic,1236297003585413122,
2022-01-07 22:52:36+00:00,1479586798837903360,"Currently watching #GhostsofWar on #Netflix, and for a movie that received unfavourable reviews, it’s not a bad movie.",en,dsiren72,717248767,Purgatory
2022-01-01 06:35:53+00:00,1477166671844368386,"Don’t Look Up 

Good or Bad Movie??

#DontLookUp #Netflix #HAPPYNEWYEAR",en,debaters_mass,1333233265524703234,Portland/Atlanta 
2021-12-25 22:34:09+00:00,1474871113389944836,#netflix Don’t look up. Great actors. Bad movie. So sad.,en,mkovalenko800,1376004112878342145,"Long Island, NY"
2021-12-24 21:25:14+00:00,1474491378734444548,"Watching the opening credits of #Netflix #DontLookUp and already my expectations are low. Whenever you have THAT many AListers in a movie, the movie is someone’s “artsy” vision and it never turns out good. I don’t recall Leo doing a bad movie so there’s that 😞",en,Jbei12,1293584100767535118,
2021-11-14 18:52:56+00:00,1459957536443052035,"Just watched #RedNotice on #Netflix .
In short it is a bad movie with deadpool trying to make u laugh at 3 or 4 occasions.
They mixed up james bond, mission impossible and fast and furious to make that.
Harry Potter reference was missing to open egg under water 😂🤣",en,pinky_p3nguin,1271525868779843584,Multiverse
2021-11-14 13:30:38+00:00,1459876430091796480,"İzlenmesi gereken en iyi 10 #Netflix filmi:

1. News of the World
2. The Trial of The Chicago 7
3. Extraction 
4. The Platform
5. The Two Popes
6. The Irishman
7. Bird Box
8. Outlaw King (IMDb - 7,0)
9. The Boy Who Harnesssed to Wind
10. El Camino A Breaking Bad Movie",en,LidyaATM,2194065302,
2021-11-13 06:22:21+00:00,1459406258516025349,The Gentlemen wasn't a bad movie. Decent cast. Mathew McConaughey has still got it and Charlie Hunnam...well 😍 #netflix #thegentlemen,en,leichy23,833238182900559872,
2021-11-11 23:54:01+00:00,1458946146714411009,"#Netflix movie of the day: El Camino: A Breaking Bad Movie (2019, IMDb 7.3)
Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creato...
Link: https://t.co/fgMfEqtl4C
#WhatToWatch  #movies",en,flixboss,969241693206777859,United States
2021-11-07 03:41:46+00:00,1457191520122064896,#HoldTheDark D+ The trailer is misleading. Took me away 2 see this cause I kept seeing bad reviews. It's a bad movie w a toilet paper plot. #Netflix #SkipIt #Year2018 #MovieList #ThrillerFilms #Wolves,en,TheRealBobby,35820191,Colorado
2021-11-02 01:06:10+00:00,1455340422541320192,"Just watched #THEGUILTY on #Netflix. Good acting job, bad movie. Don’t waste your time.",en,JeffBlackLaw,221160889,"C-Town, Buckeye grad"
2021-10-07 07:48:17+00:00,1446019535585353729,"#31DaysOfHorror /6
#TheresSomeoneInsideYourHouse 2/5
The new trend on #Netflix is 'bad movie titles, which catch your attention being so silly'. But then the same plots confirms it. We're left w/ a #highschool project w/ no purpose trying to be a #slasher 
Please stop doing this. https://t.co/cGd5DRBtlH",en,Filmofilofilmu,293699235,Slovenia
2021-09-19 06:28:23+00:00,1439476446922113027,"Otherhood. Bad movie. Stuck with it for a half hour but it was clear within the first few minutes that I was wasting my time. But because I'm a dope, I stuck around for a while longer to prove it. #Netflix",en,darlakrusee,27798386,"Portland, OR"
2021-07-18 22:39:44+00:00,1416890457855086595,Cosmic Sin on #Netflix is a dumpster fire of a movie. Frank Grillo deserves better than this… Bruce Willis needs a new agent to stop forwarding him bad movie roles. He hasn’t done a good movie since Red.,en,ThaHustleMan330,3169098661,"Northeast, Ohio "
2021-07-13 09:07:25+00:00,1414874092986150931,#MajorGrom Plaque Doctor is really a bad movie 👎 #Netflix,en,FKandil_,26983785,"Austin, TX"
2021-07-05 18:45:41+00:00,1412120514668204039,"If you don't find it a must watch, it's okay, but it's definitely not a bad movie! #HaseenDillruba is a decent thriller with an amazing performance by @VikrantMassey and well supported by @taapsee and @harsha_actor. #Netflix , really appreciate you for the quality content!",en,avsar22,131775542,"Eindhoven, Nederland"
2021-06-26 23:04:56+00:00,1408924267719315456,Overall not a bad movie.  I just feel it would have been better served without the secondary corporate cover-up angle storyline.   The danger of the ice road and nature would have been enough.  #TheIceRoad #Netflix #MovieNight,en,juliemarier17,46006945,"here, b/c I'm not all there..."
2021-06-19 14:42:00+00:00,1406260985782956043,a bad movie night. 😴 #netflix,en,tanibmo_,41331330,
2021-06-14 02:25:17+00:00,1404263642674126850,"I finished @SnowdenTheMovie on my brother’s @netflix. Not a bad movie. It was very descriptive and truly showed more than I thought any Hollywood movie would show about our own government, and now in a bright light. 

If I were president, I’d pardon that guy. #Snowden #Netflix",en,iBeckTech,497067921,"Des Moines, Iowa "
2021-06-04 18:33:06+00:00,1400883323124305930,"Watched The Banana Splits Movie on #Netflix. What a hilariously bad movie. It felt like a bad college film. Love the premise of a dark twist on some old Hanna-Barbera characters. The concept behind it the film was good, but execution was underwhelming at best.

#MyDamnOpinion",en,MyDamnOpinionYT,1360402730913828864,
2021-06-03 20:35:05+00:00,1400551637148745731,"Watched #carnavalnetflix #carnaval #netflix what a bad movie, the girls acts very bad, story bad, wasted time honestly",en,Running_Buddy,251156120,"Zollikofen, Schweiz"
2021-05-25 08:19:18+00:00,1397104976732823554,"#ArmyOfTheDead #netflix  another  2 Hours down the drain watching this bad movie, bad acting , very thin storyline. I watched it because off Las Vegas. The creating movie is better than the original",en,Softinc,1355611,"Oisterwijk, Netherlands"
2021-05-04 22:30:53+00:00,1389709140478541826,"#stowaway that was a bad movie.
#netflix",en,ChaoticLilMoron,111691109,England
2021-05-03 02:48:18+00:00,1389049146859048966,"#ThingsHeard&amp;Seen on #Netflix 
such a disappointment. Unfortunately, lately the presence of Amanda Seyfried is becoming a sign of a bad movie for me. https://t.co/PkDo3gutN4",en,BellPorcelain,1146959462235889665,OldRussia
2021-04-29 10:33:37+00:00,1387716694135672832,"Omg #BruceWillis what possessed you to make #AntiLife what a bad movie, not funny bad just pure shit, #Netflix should refund my subscription for making that crap",en,sjcollins78,377631755,"Essex, England."
2021-04-15 17:01:08+00:00,1382740788526866436,"Due to no popular demand at all, we're back with bad movie night! This week we all strapped in for the outrageously bad House of the Witch! Tune in here for just under 40 minutes of us ripping it to hell!
#Netflix
#horror
#houseofthewitch
#badmovie
#funny https://t.co/sNcNyQHy6Z",en,BringAMitPod,1296166190646284290,
